(-0.003905+0.00152125j)
(0.0091075-0.02077j)
(-0.030205000000000003+0.0021449999999999998j)
(0.013255+0.01931j)
(0.01822625-0.014135j)
(-0.02276375+0.00396625j)
(0.01373+0.0152j)
(0.01337-0.01785625j)
(-0.023895+0.00654875j)
(0.0092125+0.017611250000000002j)
(0.0061125-0.024852500000000003j)
(-0.0226425+0.0025787500000000003j)
(0.01722875+0.0099475j)
(0.002195-0.025867499999999998j)
(-0.02080375+0.0008375j)
(0.015226249999999998+0.01230375j)
(0.00094375-0.01974375j)
(-0.01257375+0.008977500000000001j)
(0.016653750000000002+0.0097575j)
(-0.0033850000000000004-0.023026249999999998j)
(-0.0135125+0.01626j)
(0.0179275+0.01004125j)
(-0.00047625-0.016501250000000002j)
(-0.0207375+0.014758750000000001j)
(0.01556875+0.00017125000000000002j)
(-0.00471125-0.01817125j)
(-0.010782499999999999+0.00961625j)
(0.01169875+0.007931249999999999j)
(-0.00340875-0.01387125j)
(-0.00569875+0.00938625j)
(0.0158675+0.00037999999999999997j)
(-0.00171125-0.01073j)
(-0.00850875+0.00823625j)
(0.00975125+0.007355j)
(-0.00024875-0.00712375j)
(-0.00281875+0.01044375j)
(0.011156250000000001+0.0065337500000000005j)
